"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
13,13,4,1,128707,128707,16777216,34,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",1048966.000000,5187498377628742,5187498377783143
13,13,4,1,128707,128707,16777216,34,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",4138473.000000,5187498377628742,5187498377783143
13,13,4,1,128707,128707,16777216,34,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,5187498377628742,5187498377783143
14,14,4,1,128707,128707,16777216,17,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,5187498378253545,5187498378521226
14,14,4,1,128707,128707,16777216,17,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",1050378.000000,5187498378253545,5187498378521226
14,14,4,1,128707,128707,16777216,17,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",8038188.000000,5187498378253545,5187498378521226
14,14,4,1,128707,128707,16777216,17,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",1049478.000000,5187498378253545,5187498378521226
14,14,4,1,128707,128707,16777216,17,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",8038530.000000,5187498378253545,5187498378521226
14,14,4,1,128707,128707,16777216,17,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,5187498378253545,5187498378521226
15,15,4,1,128707,128707,16777216,18,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,5187498378994507,5187498379480109
15,15,4,1,128707,128707,16777216,18,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",1052426.000000,5187498378994507,5187498379480109
